idx1,idx2,t_x,t_y,t_z,q_w,q_x,q_y,q_z
643,456,-2.937436420982114,-9.462118062737778,-0.38144768345205254,0.9897207056087117,-0.03506904194749938,-0.014050342982457692,-0.13793358926800103
0,456,1.2560998725642485,4.423578029741725,0.7104992860537669,0.0027312083750834224,0.010316161007021905,-0.04380193230323221,0.9989832371213204
645,189,-3.1035310654467634,0.31052895056353236,-0.08696141076022179,0.7261959021451194,0.03689389742934569,0.0352596376807823,-0.6855910661544015
2,458,-2.8592395644764514,-0.9008887226826201,0.040503252843851034,-5.060700659531571e-05,0.002147214574136046,0.0024905684743627564,0.9999945919739657
189,270,-3.502853046167723,-3.1657723742543364,0.1003833459215292,0.07379850919498207,-0.016932852925213366,0.026847129414377842,0.9967679219229615
646,189,-0.5282001412325825,-1.873329829364258,0.6046551758818546,0.6710972812890815,-0.05854199902526995,0.05138283935741506,0.7372659474138886
3,273,-1.7379640219027532,-1.1244866217801293,0.5995502053785785,-0.09292574512854944,0.9585488495185449,-0.10411072254606632,-0.24841470654917705
189,273,-3.750189371286033,-5.130562403127021,0.9746797540240185,-0.4423993242433901,0.0034362917718786033,0.07671436476405998,0.8935244462501836
273,458,0.3712517730314331,4.607998288335356,-0.34991547865189915,-0.029626644316724658,0.03024295080379955,0.9925734551420408,0.11404193097541167
647,635,6.997398750303535,1.4138964035249795,-0.0808676383943403,0.9954208673154742,0.024284251226442382,-0.0033376929856493167,0.09239281282011977
179,192,0.6081301638200889,-2.250093181019535,-0.5578199037992612,0.9409389838587724,-0.004303253198398375,0.010386165296168367,-0.33838947713717715
191,635,1.1020976259225725,-3.581198857149634,0.031011582993905218,-0.004363662914487754,-0.042025848605462206,-0.009197112340717961,0.9990646623815456
459,635,1.5121937352842258,-2.1222271408214453,-0.13245927463313656,-0.00020981644647237446,0.012462764299227245,0.0004561150382047552,0.9999222106954885
648,461,-9.081645776246763,-1.9185899191878466,0.6692243388701837,0.9994281435395915,-0.0191675298797275,0.027814074333484727,-0.001539145310539225
191,274,4.920987074156212,1.7800760933124082,-0.5407754006453211,0.04939878083477773,0.9924294362869319,0.016991167857957908,-0.11115248381418645
649,178,-0.04922954851995476,2.5904699914847416,-0.299932735341763,-5.185259633333495e-06,-0.00021379482671520132,0.00013242885322185818,0.9999999683637415
6,178,2.087737589388916,1.1448801502893966,-0.18309973928032353,0.988708804318173,0.003532251114505451,0.01486458520163142,0.14906866730663537
7,178,-1.7184447578071138,-1.2886307227593958,0.5157903795446157,0.013355241010151774,0.9914711404358821,-0.1286501722120823,0.015992135884046178
177,274,6.488988673483474,4.587656706195326,-0.6205634442884267,0.9971966521291741,-0.032591809011415764,0.06636863249230542,0.01148109702212957
192,446,-5.060978816166909,-1.3033855675706336,0.32983893073484194,-0.5239373089817476,-0.07080121026869843,-0.10889236074648617,0.8417953068605867
275,462,-0.9677937083057269,2.1319741082870043,0.20376524516066252,0.005347164736426769,-0.06948228485264515,-0.05573612872225905,0.9960105942589131
650,177,-9.384104058867557,-2.759842393818155,0.06846449128396159,0.9977263339878988,0.012860731962460667,0.06598104451119585,0.004823464073620554
8,193,1.4470827024171138,-0.8632833713444584,-0.7882169492066575,0.006817088812698749,0.9999616301637901,-0.0002405334457370456,-0.005496148101783716
177,463,-0.3146102180503961,-0.4400000648602118,-0.4795274667054776,0.726739950515171,-0.04972103787286237,-0.06842471505409531,0.6816853534350127
275,633,2.329945511287317,-2.1449811923461257,-0.17463760874992673,-0.6375006357382582,-0.03545303399108412,-0.029095959947165326,0.7690835110239308
651,9,1.39500176859752,1.0988920465275749,0.16637559829655946,0.0005273818214354687,-0.01518137856727988,0.007514615584323256,0.9998563787693867
9,176,7.126449287276136,0.1984212483697208,0.35159391083318,-0.06365399252584521,0.20378287957549615,0.9765606808507005,-0.027385102589816517
176,276,-3.193746984210033,2.4917492777359924,0.8453421881819095,0.11782877884123903,-0.008973869512029026,0.9929473118373471,0.009564750793926144
195,445,6.046597454028214,2.6943320083123528,1.1069556558467304,-0.4983144753358528,-0.03358388274713446,0.21887581470821255,0.8382411253489037
277,464,0.1282976423633333,-0.7640270244769609,-0.04211342533025553,0.9564573444980167,0.017486677082067928,0.013613876370656098,-0.2910295975508232
652,175,-0.5437916021020541,-0.30770947673765314,-0.3357337407409044,0.9917197898214626,0.09561586689620157,-0.08517135267890426,-0.009762436018115717
9,196,-1.708590352279586,-0.28008419115926664,-0.2880178690824281,-0.6132877721342049,-0.03176630809420678,0.02689082909114399,0.7887622541244721
176,196,1.6401575023748405,1.7644883351288987,-0.8066195933553815,-0.09076759010204372,-0.45717217940960636,0.8633925535500443,0.19315315538523303
277,465,-2.080012812822017,-3.4732927496678894,1.4161320956876817,-0.013241144089417609,0.892461595667163,-0.34982688764299985,0.2845314060774957
653,278,2.391265517573023,1.030981910138264,0.10259081970645023,0.9957625811348062,0.037664866945431,0.009693807633073525,-0.08333228607991285
11,279,3.146514003175334,1.4097220639724624,-0.01525920705847339,0.5061860255056398,-0.03172110128569599,0.030455489532693836,0.8613024686330292
174,466,2.541107806517398,0.24962504519380047,0.47513662376178123,-0.0013030755558488538,0.004483893102727926,-0.00871592094860528,0.9999511135144341
